,City name,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
1,tokur,ru,53.13,132.9,-24.49,1.06,53.0,0.0
2,tabuk,sa,17.41,121.44,20.16,0.76,95.0,48.0
3,fort smith,us,35.39,-94.42,18.0,2.1,93.0,1.0
4,pontes e lacerda,br,-15.23,-59.33,25.91,0.36,86.0,8.0
5,mount isa,au,-20.73,139.49,28.0,1.5,69.0,100.0
6,simpang,id,4.82,100.71,26.0,1.41,88.0,75.0
7,aripuana,br,-9.17,-60.63,29.81,0.61,67.0,64.0
8,eydhafushi,mv,5.1,73.07,28.06,6.56,100.0,92.0
9,luba,gq,17.32,120.7,23.34,1.91,81.0,8.0
10,saint-pierre,mq,48.95,4.24,-3.0,9.8,49.0,90.0
11,sadiqabad,pk,28.31,70.13,18.69,3.61,85.0,0.0
12,san luis,ar,-33.3,-66.34,21.91,2.46,69.0,24.0
13,conceicao do mato dentro,br,-19.04,-43.42,22.51,1.16,86.0,32.0
14,yabelo,et,4.89,38.09,17.06,1.36,89.0,76.0
15,konolfingen,ch,46.88,7.62,-3.0,4.1,62.0,75.0
16,mahenge,tz,-8.68,36.72,22.86,0.96,93.0,92.0
17,sawakin,sd,19.1,37.33,24.0,3.1,69.0,0.0
18,ixtapa,mx,20.71,-105.21,25.0,4.1,65.0,5.0
19,buenos aires,cr,-34.61,-58.44,24.0,5.1,64.0,0.0
20,vibo valentia,it,38.68,16.09,5.0,10.3,93.0,75.0
21,chaohu,cn,31.63,117.88,7.0,3.0,100.0,24.0
22,changping,cn,40.22,116.23,-1.0,5.0,26.0,0.0
23,ushuaia,ar,-54.81,-68.31,11.0,7.56,57.0,40.0
24,port hedland,au,-20.31,118.58,26.0,2.6,94.0,40.0
25,cockburn town,tc,21.46,-71.14,23.86,5.46,100.0,0.0
26,navalmoral de la mata,es,39.89,-5.54,10.06,5.11,98.0,88.0
27,radhanpur,in,23.83,71.61,22.09,1.21,45.0,56.0
28,gumdag,tm,39.2,54.59,7.56,2.86,97.0,36.0
29,zhaoyuan,cn,45.52,125.08,-11.64,7.91,77.0,48.0
30,chokurdakh,ru,70.62,147.9,-25.79,4.21,66.0,80.0
31,ilulissat,gl,69.22,-51.1,-12.0,0.5,60.0,20.0
32,contamana,pe,-7.35,-75.01,29.11,0.76,72.0,0.0
33,viedma,ar,-40.81,-62.99,23.69,4.76,45.0,0.0
34,kalangala,ug,-0.32,32.29,21.0,6.2,83.0,75.0
35,novokruchininskiy,ru,51.78,113.77,-24.0,4.0,69.0,0.0
36,santiago de cao,pe,-7.96,-79.24,21.0,5.1,88.0,40.0
37,hay river,ca,60.82,-115.79,-14.0,5.7,77.0,40.0
38,rudnogorsk,ru,57.27,103.75,-22.17,1.16,75.0,36.0
39,sokoni,tz,-12.89,28.78,17.91,2.11,100.0,92.0
40,tongren,cn,27.72,109.18,13.09,1.31,100.0,92.0
41,oakdale,us,37.77,-120.85,17.0,4.1,33.0,1.0
42,enshi,cn,30.29,109.48,8.44,1.06,98.0,100.0
43,yakeshi,cn,49.28,120.73,-17.02,3.86,83.0,44.0
44,umm kaddadah,sd,13.6,26.69,22.26,1.36,36.0,48.0
45,gambiran,id,-7.93,111.77,22.09,0.66,97.0,68.0
46,itaueira,br,-7.6,-43.03,22.71,1.51,94.0,80.0
47,west bay,ky,50.71,-2.76,-4.0,7.7,73.0,64.0
48,mastic beach,us,40.77,-72.85,9.0,3.6,75.0,1.0
49,muncar,id,-8.43,114.34,26.76,1.41,96.0,32.0
50,mansa,zm,23.43,72.66,24.0,1.5,44.0,40.0
51,najran,sa,17.54,44.22,22.0,1.41,35.0,0.0
52,micheweni,tz,-4.97,39.83,27.21,2.86,100.0,80.0
54,leningradskiy,ru,69.38,178.42,-13.67,11.66,93.0,68.0
55,shelburne,ca,44.08,-80.2,12.0,4.1,93.0,90.0
56,puerto narino,co,-3.77,-70.38,27.0,1.0,88.0,75.0
57,moyeuvre-grande,fr,49.25,6.05,-5.0,13.4,53.0,0.0
59,isangel,vu,-19.55,169.27,27.74,2.56,100.0,0.0
60,si bun ruang,th,16.97,102.28,23.0,0.5,88.0,44.0
61,gasa,bt,27.91,89.73,-25.59,0.61,35.0,0.0
62,kruisfontein,za,-34.0,24.73,20.16,1.66,100.0,88.0
63,kirakira,sb,-10.46,161.92,26.19,4.81,100.0,88.0
65,guilin,cn,25.28,110.29,15.0,1.61,100.0,75.0
66,turbat,pk,26.0,63.05,13.99,0.46,84.0,0.0
67,gigmoto,ph,13.78,124.39,25.81,4.51,100.0,76.0
68,obihiro,jp,42.92,143.2,-10.0,2.1,85.0,75.0
69,namie,jp,37.52,140.86,8.0,1.5,100.0,75.0
70,cabo san lucas,mx,22.89,-109.91,22.0,4.6,72.0,90.0
71,xam nua,la,20.42,104.04,12.74,0.81,95.0,0.0
73,orlovskiy,ru,46.87,42.05,0.99,11.01,99.0,92.0
74,borgarnes,is,64.54,-21.92,4.0,2.1,93.0,90.0
75,kropotkin,ru,45.43,40.58,1.91,7.91,92.0,88.0
76,beidao,cn,34.57,105.89,1.46,1.16,96.0,88.0
77,yatou,cn,3.63,9.81,28.0,2.1,83.0,75.0
78,preston,us,53.76,-2.71,-4.0,8.2,73.0,40.0
80,onega,ru,63.91,38.09,-13.54,5.46,78.0,76.0
81,saint-philippe,re,45.36,-73.48,11.0,5.7,94.0,90.0
82,birjand,ir,32.86,59.22,10.0,2.1,66.0,75.0
84,oksfjord,no,70.24,22.35,3.0,4.1,69.0,92.0
85,nicoya,cr,10.15,-85.45,30.0,10.3,48.0,0.0
86,pringsewu,id,-5.36,104.98,22.61,1.36,95.0,92.0
87,phan thiet,vn,10.93,108.1,24.86,4.66,96.0,12.0
88,srandakan,id,-7.94,110.25,23.81,2.21,89.0,12.0
89,prince george,ca,53.92,-122.75,1.0,5.1,64.0,90.0
90,shahrud,ir,36.42,54.97,1.06,1.21,93.0,36.0
91,atkarsk,ru,51.88,45.01,-19.07,5.91,72.0,36.0
92,antsohihy,mg,-14.88,47.99,22.19,0.71,100.0,32.0
93,mogoytuy,ru,51.28,114.93,-20.94,3.86,52.0,20.0
94,ada,us,47.3,-96.52,-2.0,3.1,79.0,1.0
96,pocoes,br,-14.53,-40.37,24.0,4.1,64.0,0.0
97,sitrah,bh,26.15,50.62,20.0,5.7,77.0,0.0
98,yumen,cn,40.29,97.04,0.56,7.01,77.0,48.0
99,severodvinsk,ru,64.56,39.82,-12.0,5.0,78.0,40.0
100,dawei,mm,14.07,98.19,20.84,1.01,92.0,0.0
101,nabire,id,-3.36,135.5,24.01,0.41,89.0,56.0
102,mineros,bo,-17.12,-63.23,24.0,2.1,94.0,75.0
103,puksoozero,ru,62.59,40.61,-17.77,4.66,65.0,0.0
104,mirabad,af,28.27,61.33,10.49,5.36,94.0,88.0
105,sovetskiy,ru,56.76,48.47,-25.89,1.31,44.0,36.0
106,sur,om,22.57,59.53,21.91,2.41,97.0,12.0
107,boa vista,br,2.82,-60.67,34.0,2.1,41.0,40.0
108,adrar,dz,27.87,-0.29,20.0,8.2,11.0,0.0
109,clarence town,bs,-32.59,151.78,24.0,7.7,64.0,40.0
110,baruun-urt,mn,46.68,113.28,-24.42,2.86,51.0,0.0
112,beaufort,us,5.36,115.76,25.0,1.41,94.0,75.0
113,alur,in,17.7,76.43,16.96,3.56,47.0,0.0
114,kayerkan,ru,69.35,87.76,-25.17,13.01,61.0,80.0
115,mayumba,ga,-3.44,10.65,25.16,2.11,100.0,92.0
116,baghdad,iq,33.3,44.38,13.0,2.1,93.0,8.0
117,midland,us,32.0,-102.08,22.0,5.7,42.0,80.0
118,hof,no,50.32,11.92,-10.0,4.1,61.0,1.0
119,teeli,ru,51.01,90.2,-16.99,1.81,48.0,0.0
120,yalta,ua,46.96,37.27,1.11,13.66,93.0,92.0
121,yashkino,ru,55.87,85.43,-16.64,5.16,77.0,76.0
122,lieksa,fi,63.32,30.02,-20.17,2.31,80.0,0.0
123,livezi,ro,48.23,28.05,-11.54,7.36,83.0,88.0
